book_id,genre,name,author
4352,Medical Books,Protein Formulation and Delivery (Drugs and the Pharmaceutical Sciences),
3136,Teen & Young Adult,Hunting Dogs: Different Breeds and Special Purposes (Hunting: Pursuing Wild Game!),Susan Meyer
572,History,The Maya of Morganton: Work and Community in the Nuevo New South,Leon Fink
3208,Romance,"Bella's Christmas Bake Off: A fabulously funny, feel good Christmas read",Sue Watson
1985,Religion & Spirituality,Reincarnation and Karma: How They Really Affect Us: The Eastern Explanation of Our Past and Future Lives and Good or Bad Experiences,Stephen Knapp
2275,"Health, Fitness & Dieting","Sleep: A Groundbreaking Guide to the Mysteries, the Problems, and the Solutions",Carlos H. Schenck
3618,Science Fiction & Fantasy,The Rise of Renegade X (Volume 1),Chelsea M Campbell
4378,"Cookbooks, Food & Wine",The San Francisco Chronicle Cookbook,
1128,"Crafts, Hobbies & Home",Rustic Garden Projects: 28 Decorative Accents You Can Build,Dawn King
4751,Self-Help,A Brother's Journey: Surviving a Childhood of Abuse,Richard B. Pelzer
813,Humor & Entertainment,Playing Blackjack to Win: A New Strategy for the Game of 21,Roger Baldwin
916,Children's Books,On the Halfpipe with Tony Hawk,Matt Christopher
1591,Arts & Photography,"Hippie Chick: A Tale of Love, Devotion & Surrender",
892,Medical Books,Science And Human Behavior,B.F Skinner
60,Travel,Lonely Planet Nueva Zelanda (Travel Guide) (Spanish Edition),Lonely Planet
1313,Science & Math,The Eighth Tower: On Ultraterrestrials and the Superspectrum,John a. Keel
2592,Test Preparation,Pre-GED: Student Edition Science,STECK-VAUGHN
2173,Computers & Technology,Unix for Oracle Dbas Pocket Reference,Donald K. Burleson
3690,Christian Books & Bibles,"Living as United Methodist Christians: Our Story, Our Beliefs, Our Lives",Sally Langford
1674,Business & Money,The Standard for Program Management,
2702,Sports & Outdoors,Coaching Track & Field Successfully (Coaching Successfully Series),Mark Guthrie
2569,Medical Books,Oncology and Basic Science (Orthopaedic Surgery Essentials Series),
4471,Calendars,Keith Haring Wall Calendar (2016),Day Dream
3958,"Health, Fitness & Dieting","Untitled Harrold 2 of 3: The Hypnosis Solution for Deeper, Longer Sleep",Glenn Harrold
1442,Travel,Namibia Travel Map (Globetrotter Travel Map),Globetrotter
3418,Arts & Photography,Aircraft: The Jet as Art,Jeffrey Milstein
2861,Law,"Energy Law in Europe: National, EU and International Regulation",
2110,Romance,Loved by a SEAL: Hot SEALs (Volume 6),Cat Johnson
975,"Cookbooks, Food & Wine",Waffles: From Morning to Midnight,Dorie Greenspan
872,Literature & Fiction,The Cambridge Companion to the Greek and Roman Novel (Cambridge Companions to Literature),
956,Reference,Nelson's Little Book of Where To Find It in the Bible,Ken Anderson
966,Comics & Graphic Novels,The Royal Cup (Last Man),Bastien Vivès
2837,"Crafts, Hobbies & Home",Classic Plastic Radios of the 1930s and 1940s: A Collector's Guide to Catalin Models,John Sideli
1099,Medical Books,Use Your Mind to Heal Your Body: How I used Dr. Sarno's medically proven treatment plan to eliminate my back pain forever,Stephen Conenna PE
3996,Politics & Social Sciences,The Hidden Face of God: Science Reveals the Ultimate Truth,Gerald L. Schroeder Ph.D.
3217,Biographies & Memoirs,Chinese Cinderella,Adeline Yen Mah
3557,Children's Books,Brain Quest Workbook: Kindergarten,Lisa Trumbauer
1244,Teen & Young Adult,"Your Beautiful Heart: 31 Reflections on Love, Faith, Friendship, and Becoming a Girl Who Shines",Lauren Scruggs
2320,Parenting & Relationships,"Eat, Play, Sleep: The Essential Guide to Your Baby's First Three Months",Luiza DeSouza
2528,Science & Math,Free Will,Sam Harris
156,Travel,Yemen: Jewel of Arabia,Charles Aithie
2182,"Health, Fitness & Dieting",Adults on the Autism Spectrum Leave the Nest: Achieving Supported Independence,Nancy Perry
3541,Religion & Spirituality,Oxford Studies in Philosophy of Religion Volume 6,
2337,Christian Books & Bibles,Saint Gregory Palamas: The Homilies,Saint Gregory Palamas
3098,"Cookbooks, Food & Wine",Chic & Unique Vintage Cakes: 30 Modern Cake Designs from Vintage Inspirations,Zoe Clark
4739,Business & Money,Perfect Balance: Create Time and Space for All Parts of Your Life,Paul Wilson
2891,Science Fiction & Fantasy,Sixth World Almanac (Shadowrun (Catalyst Hardcover)),John Schmidt
4302,"Crafts, Hobbies & Home",The New Woodburner's Handbook (Down-to-Earth Energy Book),Stephen Bushway
2388,Medical Books,"Foundations of Maternal-Newborn and Women's Health Nursing, 5e (Foundations of Maternal- Newborn Nursing)",Sharon Smith Murray MSN  RN  C
